trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2634,False,"{'a': 0.005126792625389142, 'e': 0.005126792625389142}",30,12,34.19262879430388,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2635,False,"{'a': 0.005116539040138364, 'e': 0.005116539040138364}",20,16,8.799102789102005,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2636,False,"{'a': 0.005106305962058087, 'e': 0.005106305962058087}",30,17,27.023825129855286,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2637,False,"{'a': 0.005096093350133971, 'e': 0.005096093350133971}",25,13,24.33580389795463,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2638,False,"{'a': 0.005085901163433703, 'e': 0.005085901163433703}",20,13,2.3643737737799677,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
2639,False,"{'a': 0.005075729361106836, 'e': 0.005075729361106836}",20,11,17.60786082489617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2640,False,"{'a': 0.005065577902384622, 'e': 0.005065577902384622}",20,6,25.240855791875692,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2641,False,"{'a': 0.0050554467465798525, 'e': 0.0050554467465798525}",20,15,10.807901281566297,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2642,False,"{'a': 0.005045335853086693, 'e': 0.005045335853086693}",25,1,40.02092268697015,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2643,False,"{'a': 0.00503524518138052, 'e': 0.00503524518138052}",25,15,17.828493869568874,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2644,False,"{'a': 0.005025174691017758, 'e': 0.005025174691017758}",30,20,19.092171948547765,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2645,False,"{'a': 0.005015124341635723, 'e': 0.005015124341635723}",20,7,22.034550566803436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2646,False,"{'a': 0.005005094092952451, 'e': 0.005005094092952451}",25,9,29.213106571032256,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2647,False,"{'a': 0.004995083904766546, 'e': 0.004995083904766546}",30,24,12.044061279488524,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2648,False,"{'a': 0.004985093736957014, 'e': 0.004985093736957014}",20,3,27.72863378527569,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
